i,e,eta,J,|k|,|u|,Esum
8696,-0.000194078,-0.000194078,1.07368e+09,0.000799073,0.000160691,1.07368e+09
8697,2.33297e-05,2.33297e-05,1.07368e+09,0.000781782,0.000163356,1.07368e+09
8698,-0.000184076,-0.000184076,1.07368e+09,0.000794888,0.000166096,1.07368e+09
8699,5.51511e-06,5.51511e-06,1.07368e+09,0.000803216,0.000168643,1.07368e+09
8700,-0.000111991,-0.000111991,1.07368e+09,0.000810364,0.000170913,1.07368e+09
8701,-5.79106e-05,-5.79106e-05,1.07368e+09,0.000816691,0.000173253,1.07368e+09
8702,-4.07571e-05,-4.07571e-05,1.07368e+09,0.000795275,0.000175604,1.07368e+09
8703,-4.67958e-05,-4.67958e-05,1.07368e+09,0.000792283,0.000177527,1.07368e+09
8704,2.66737e-05,2.66737e-05,1.07368e+09,0.000745127,0.000179065,1.07368e+09
8705,-0.000114568,-0.000114568,1.07368e+09,0.000729818,0.000180776,1.07368e+09
8706,6.07448e-05,6.07448e-05,1.07368e+09,0.000688767,0.000182691,1.07368e+09
8707,-0.000161078,-0.000161078,1.07368e+09,0.000696488,0.000184599,1.07368e+09
8708,7.00692e-05,7.00692e-05,1.07368e+09,0.000705656,0.00018647,1.07368e+09
8709,-0.000116018,-0.000116018,1.07368e+09,0.000721573,0.000188223,1.07368e+09
8710,1.27784e-05,1.27784e-05,1.07368e+09,0.000737347,0.000189796,1.07368e+09
8711,-1.08773e-05,-1.08773e-05,1.07368e+09,0.000716222,0.000191187,1.07368e+09
8712,5.27515e-06,5.27515e-06,1.07368e+09,0.00072166,0.000192411,1.07368e+09
8713,4.44295e-05,4.44295e-05,1.07368e+09,0.000682273,0.000193559,1.07368e+09
8714,-9.74716e-05,-9.74716e-05,1.07368e+09,0.000677121,0.000194922,1.07368e+09
8715,8.94491e-05,8.94491e-05,1.07368e+09,0.000642774,0.000196273,1.07368e+09
8716,-0.000130553,-0.000130553,1.07368e+09,0.000643204,0.000197422,1.07368e+09
8717,0.000139538,0.000139538,1.07368e+09,0.000646315,0.000198314,1.07368e+09
8718,-0.000104883,-0.000104883,1.07368e+09,0.000662179,0.000199039,1.07368e+09
8719,9.96057e-05,9.96057e-05,1.07368e+09,0.00069395,0.000199688,1.07368e+09
8720,3.12282e-05,3.12282e-05,1.07368e+09,0.000682201,0.000200132,1.07368e+09
8721,-2.74516e-05,-2.74516e-05,1.07368e+09,0.000688296,0.000200702,1.07368e+09
8722,8.80388e-05,8.80388e-05,1.07368e+09,0.000641902,0.000201295,1.07368e+09
8723,-9.20004e-05,-9.20004e-05,1.07368e+09,0.000623179,0.000201734,1.07368e+09
8724,0.000118478,0.000118478,1.07368e+09,0.00057473,0.000201831,1.07368e+09
8725,-8.61072e-05,-8.61072e-05,1.07368e+09,0.000557712,0.000201866,1.07368e+09
8726,0.000155619,0.000155619,1.07368e+09,0.000554523,0.000201814,1.07368e+09
8727,-6.55216e-05,-6.55216e-05,1.07368e+09,0.000563032,0.00020157,1.07368e+09
8728,0.000124236,0.000124236,1.07368e+09,0.000592987,0.000201444,1.07368e+09
8729,1.28963e-05,1.28963e-05,1.07368e+09,0.000594503,0.000201303,1.07368e+09
8730,2.23809e-05,2.23809e-05,1.07368e+09,0.000610019,0.00020099,1.07368e+09
8731,9.2024e-05,9.2024e-05,1.07368e+09,0.000585844,0.000200182,1.07368e+09
8732,-3.29223e-05,-3.29223e-05,1.07368e+09,0.000562737,0.000199399,1.07368e+09
8733,0.000169294,0.000169294,1.07368e+09,0.000529079,0.000198562,1.07368e+09
8734,-0.000103637,-0.000103637,1.07368e+09,0.000502663,0.000197659,1.07368e+09
8735,0.000243911,0.000243911,1.07368e+09,0.000496699,0.000196594,1.07368e+09
8736,-0.000114475,-0.000114475,1.07368e+09,0.000498242,0.000195437,1.07368e+09
8737,0.000169065,0.000169065,1.07368e+09,0.00053255,0.000194258,1.07368e+09
8738,-3.74006e-05,-3.74006e-05,1.07368e+09,0.000548339,0.000192855,1.07368e+09
8739,4.38456e-05,4.38456e-05,1.07368e+09,0.000561901,0.00019134,1.07368e+09
8740,9.67834e-05,9.67834e-05,1.07368e+09,0.000550546,0.000189347,1.07368e+09
8741,-2.32956e-05,-2.32956e-05,1.07368e+09,0.000530278,0.00018745,1.07368e+09
8742,0.00017179,0.00017179,1.07368e+09,0.000513328,0.000185565,1.07368e+09
8743,-0.000104794,-0.000104794,1.07368e+09,0.000488663,0.000183654,1.07368e+09
8744,0.000200654,0.000200654,1.07368e+09,0.000496716,0.000181488,1.07368e+09
8745,-0.00010512,-0.00010512,1.07368e+09,0.000497017,0.000179147,1.07368e+09
8746,0.000135787,0.000135787,1.07368e+09,0.000523064,0.00017673,1.07368e+09
8747,-6.78589e-05,-6.78589e-05,1.07368e+09,0.000538649,0.000174075,1.07368e+09
8748,9.87526e-05,9.87526e-05,1.07368e+09,0.000557141,0.00017157,1.07368e+09
8749,-9.55775e-06,-9.55775e-06,1.07368e+09,0.000566967,0.000168957,1.07368e+09
8750,5.21011e-05,5.21011e-05,1.07368e+09,0.000564502,0.000166265,1.07368e+09
8751,4.73255e-05,4.73255e-05,1.07368e+09,0.000560385,0.000163423,1.07368e+09
8752,-7.08523e-05,-7.08523e-05,1.07368e+09,0.000536559,0.000160711,1.07368e+09
8753,0.000158562,0.000158562,1.07368e+09,0.000536837,0.000157688,1.07368e+09
8754,-0.000173775,-0.000173775,1.07368e+09,0.000544949,0.000154171,1.07368e+09
8755,0.000173885,0.000173885,1.07368e+09,0.000570874,0.000150482,1.07368e+09
8756,-0.000136861,-0.000136861,1.07368e+09,0.00060251,0.000146916,1.07368e+09
8757,9.22728e-05,9.22728e-05,1.07368e+09,0.000611905,0.000143725,1.07368e+09
8758,-3.51393e-05,-3.51393e-05,1.07368e+09,0.000625101,0.000140246,1.07368e+09
8759,-7.55029e-06,-7.55029e-06,1.07368e+09,0.000605672,0.000136706,1.07368e+09
8760,-1.41983e-05,-1.41983e-05,1.07368e+09,0.000609641,0.000133347,1.07368e+09
8761,-6.515e-05,-6.515e-05,1.07368e+09,0.000583052,0.000130061,1.07368e+09
8762,3.16863e-05,3.16863e-05,1.07368e+09,0.000584206,0.000126493,1.07368e+09
8763,-0.0001312,-0.0001312,1.07368e+09,0.00057303,0.000122989,1.07368e+09
8764,9.66057e-05,9.66057e-05,1.07368e+09,0.000578951,0.000119813,1.07368e+09
8765,-0.000194862,-0.000194862,1.07368e+09,0.000605155,0.000116485,1.07368e+09
8766,8.83861e-05,8.83861e-05,1.07368e+09,0.000611551,0.000113276,1.07368e+09
8767,-0.000147661,-0.000147661,1.07368e+09,0.000644144,0.000110677,1.07368e+09
8768,-3.40575e-05,-3.40575e-05,1.07368e+09,0.000621735,0.000108725,1.07368e+09
8769,-9.14874e-05,-9.14874e-05,1.07368e+09,0.000632437,0.000106588,1.07368e+09
8770,-0.000133647,-0.000133647,1.07368e+09,0.000605679,0.000104357,1.07368e+09
8771,1.73502e-05,1.73502e-05,1.07368e+09,0.000609783,0.000101908,1.07368e+09
8772,-0.000223965,-0.000223965,1.07368e+09,0.000607436,9.95437e-05,1.07368e+09
